Data;COD_CLI;COD_ARM;COD_PROD;PreçÁo;Quantidade
01/01/2019;1;3;2;30;10
02/01/2019;4;1;2;30;5
03/01/2019;6;2;6;30;2
04/01/2019;4;1;6;20;2
05/01/2019;6;1;5;30;2
06/01/2019;2;3;3;10;5
07/01/2019;1;2;1;30;10
08/01/2019;6;4;6;15;6
09/01/2019;5;2;4;15;5
10/01/2019;5;2;2;30;4
11/01/2019;1;1;5;30;10
12/01/2019;6;1;4;15;2
13/01/2019;2;2;6;10;2
14/01/2019;4;3;6;25;2
15/01/2019;6;1;6;30;5
16/01/2019;6;2;4;30;2
17/01/2019;3;1;6;20;2
18/01/2019;4;1;3;30;2
19/01/2019;6;3;6;10;5
20/01/2019;5;2;2;30;10
21/01/2019;4;4;2;15;6
22/01/2019;2;2;6;15;5
23/01/2019;6;2;6;30;4
24/01/2019;5;1;5;30;10
25/01/2019;3;1;3;15;2
26/01/2019;3;2;1;10;2
27/01/2019;2;3;6;25;2
28/01/2019;3;3;4;30;3
29/01/2019;4;1;2;20;2
30/01/2019;4;1;5;15;1
31/01/2019;4;4;4;15;5
01/02/2019;3;3;6;20;10
02/02/2019;3;3;6;30;10
03/02/2019;1;1;6;30;5
04/02/2019;5;2;4;30;2
05/02/2019;3;1;6;20;2
06/02/2019;2;1;3;30;2
07/02/2019;6;3;6;10;5
08/02/2019;2;2;2;30;10
09/02/2019;1;4;2;15;6
10/02/2019;6;2;6;15;5
11/02/2019;1;2;6;30;4
12/02/2019;1;1;5;30;10
13/02/2019;1;1;3;15;2
14/02/2019;1;2;1;10;2
15/02/2019;6;3;6;25;2
16/02/2019;2;3;4;30;3
17/02/2019;1;1;2;20;2
18/02/2019;5;1;5;15;1
19/02/2019;2;4;4;15;5
20/02/2019;4;3;6;20;10
21/02/2019;5;3;6;30;10
22/02/2019;3;1;6;30;5
23/02/2019;6;2;4;30;2
24/02/2019;6;1;6;20;2
25/02/2019;6;1;3;30;2
26/02/2019;2;3;6;10;5
27/02/2019;2;2;2;30;10
28/02/2019;2;4;2;15;6
01/03/2019;6;2;6;15;5
02/03/2019;3;2;6;30;4
03/03/2019;1;1;5;30;10
04/03/2019;1;1;3;15;2
05/03/2019;6;2;1;10;2
06/03/2019;4;3;6;25;2
