Data;COD_CLI;COD_ARM;COD_PROD;PreçÁo;Quantidade
01/01/2017;3;3;6;30;3
02/01/2017;2;1;4;20;2
03/01/2017;2;1;2;15;1
04/01/2017;1;4;5;15;5
05/01/2017;3;3;4;20;10
06/01/2017;6;3;6;30;10
07/01/2017;2;1;6;30;5
08/01/2017;5;2;6;30;2
09/01/2017;5;1;4;20;2
10/01/2017;5;1;6;30;2
11/01/2017;1;3;3;10;5
12/01/2017;5;2;6;30;10
13/01/2017;3;4;2;15;6
14/01/2017;5;2;2;15;5
15/01/2017;4;2;6;30;4
16/01/2017;2;1;6;30;10
17/01/2017;1;1;5;15;2
18/01/2017;5;2;3;10;2
19/01/2017;4;3;1;25;2
20/01/2017;4;3;6;30;3
21/01/2017;2;1;4;20;2
22/01/2017;2;1;2;15;1
23/01/2017;2;4;5;15;5
24/01/2017;6;3;4;20;10
25/01/2017;4;3;6;30;10
26/01/2017;5;1;6;30;5
27/01/2017;3;2;6;30;2
28/01/2017;1;1;4;20;2
29/01/2017;6;1;6;30;2
30/01/2017;2;3;3;10;5
31/01/2017;6;2;6;30;10
01/02/2017;4;4;2;15;6
02/02/2017;5;2;2;15;5
03/02/2017;5;2;6;30;4
04/02/2017;6;1;6;30;10
05/02/2017;3;1;5;15;2
06/02/2017;3;2;3;10;2
07/02/2017;4;3;1;25;2
08/02/2017;6;3;6;30;3
09/02/2017;5;1;4;20;2
10/02/2017;3;1;2;15;1
11/02/2017;6;4;5;15;5
12/02/2017;5;3;4;20;10
13/02/2017;5;3;6;30;10
14/02/2017;4;1;6;30;5
15/02/2017;6;2;6;30;2
16/02/2017;4;1;4;20;2
17/02/2017;5;1;6;30;2
18/02/2017;5;3;3;10;5
19/02/2017;1;2;6;30;10
20/02/2017;4;4;2;15;6
21/02/2017;1;2;2;15;5
22/02/2017;1;2;6;30;4
23/02/2017;3;1;6;30;10
24/02/2017;1;1;5;15;2
25/02/2017;6;2;3;10;2
26/02/2017;2;3;1;25;2
27/02/2017;5;3;6;30;3
28/02/2017;4;1;4;20;2
01/03/2017;4;1;2;15;1
02/03/2017;4;4;5;15;5
03/03/2017;2;3;4;20;10
04/03/2017;2;3;6;30;10
05/03/2017;4;1;6;30;5
06/03/2017;3;2;6;30;2
07/03/2017;5;1;4;20;2
08/03/2017;5;1;6;30;2
09/03/2017;2;3;3;10;5
10/03/2017;3;2;6;30;10
11/03/2017;2;4;2;15;6
12/03/2017;4;2;2;15;5
13/03/2017;5;2;6;30;4
14/03/2017;2;1;6;30;10
15/03/2017;6;1;5;15;2
16/03/2017;2;2;3;10;2
17/03/2017;6;3;1;25;2
18/03/2017;3;3;6;30;3
19/03/2017;3;1;4;20;2
20/03/2017;6;1;2;15;1
21/03/2017;4;4;5;15;5
22/03/2017;2;3;4;20;10
23/03/2017;6;3;6;30;10
24/03/2017;2;1;6;30;5
25/03/2017;2;2;6;30;2
26/03/2017;1;1;4;20;2
27/03/2017;6;1;6;30;2
28/03/2017;6;3;3;10;5
29/03/2017;2;2;6;30;10
30/03/2017;5;4;2;15;6
31/03/2017;6;2;2;15;5
01/04/2017;5;2;6;30;4
02/04/2017;6;1;6;30;10
03/04/2017;5;1;5;15;2
04/04/2017;5;2;3;10;2
05/04/2017;6;3;1;25;2
06/04/2017;4;3;6;30;3
07/04/2017;2;1;4;20;2
08/04/2017;3;1;2;15;1
09/04/2017;2;4;5;15;5
10/04/2017;5;3;4;20;10
11/04/2017;3;3;6;30;10
12/04/2017;2;1;6;30;5
13/04/2017;3;2;6;30;2
14/04/2017;4;1;4;20;2
15/04/2017;2;1;6;30;2
16/04/2017;1;3;3;10;5
17/04/2017;6;2;6;30;10
18/04/2017;5;4;2;15;6
19/04/2017;5;2;2;15;5
20/04/2017;2;2;6;30;4
21/04/2017;4;1;6;30;10
22/04/2017;6;1;5;15;2
23/04/2017;5;2;3;10;2
24/04/2017;2;3;1;25;2
25/04/2017;6;3;6;30;3
26/04/2017;2;1;4;20;2
27/04/2017;1;1;2;15;1
28/04/2017;1;4;5;15;5
29/04/2017;5;3;4;20;10
30/04/2017;5;3;6;30;10
01/05/2017;4;1;6;30;5
02/05/2017;2;2;6;30;2
03/05/2017;5;1;4;20;2
04/05/2017;5;1;6;30;2
05/05/2017;4;3;3;10;5
06/05/2017;5;2;6;30;10
07/05/2017;1;4;2;15;6
08/05/2017;4;2;2;15;5
09/05/2017;4;2;6;30;4
10/05/2017;5;1;6;30;10
11/05/2017;2;1;5;15;2
12/05/2017;2;2;3;10;2
13/05/2017;4;3;1;25;2
14/05/2017;6;3;6;30;3
15/05/2017;4;1;4;20;2
16/05/2017;3;1;2;15;1
17/05/2017;3;4;5;15;5
18/05/2017;6;3;4;20;10
19/05/2017;3;3;6;30;10
20/05/2017;3;1;6;30;5
21/05/2017;4;2;6;30;2
22/05/2017;4;1;4;20;2
23/05/2017;6;1;6;30;2
24/05/2017;6;3;3;10;5
25/05/2017;4;2;6;30;10
26/05/2017;1;4;2;15;6
27/05/2017;3;2;2;15;5
28/05/2017;5;2;6;30;4
29/05/2017;3;1;6;30;10
30/05/2017;3;1;5;15;2
31/05/2017;2;2;3;10;2
01/06/2017;2;3;1;25;2
02/06/2017;6;3;6;30;3
03/06/2017;2;1;4;20;2
04/06/2017;1;1;2;15;1
05/06/2017;3;4;5;15;5
06/06/2017;1;3;4;20;10
07/06/2017;3;3;6;30;10
08/06/2017;4;1;6;30;5
09/06/2017;6;2;6;30;2
10/06/2017;1;1;4;20;2
11/06/2017;1;1;6;30;2
12/06/2017;6;3;3;10;5
13/06/2017;2;2;6;30;10
14/06/2017;6;4;2;15;6
15/06/2017;1;2;2;15;5
16/06/2017;3;2;6;30;4
17/06/2017;2;1;6;30;10
18/06/2017;3;1;5;15;2
19/06/2017;2;2;3;10;2
20/06/2017;6;3;1;25;2
21/06/2017;3;3;6;30;3
22/06/2017;3;1;4;20;2
23/06/2017;6;1;2;15;1
24/06/2017;3;4;5;15;5
25/06/2017;6;3;4;20;10
26/06/2017;6;3;6;30;10
27/06/2017;4;1;6;30;5
28/06/2017;1;2;6;30;2
29/06/2017;1;1;4;20;2
30/06/2017;3;1;6;30;2
01/07/2017;1;3;3;10;5
02/07/2017;4;2;6;30;10
03/07/2017;6;4;2;15;6
04/07/2017;5;2;2;15;5
05/07/2017;5;2;6;30;4
06/07/2017;6;1;6;30;10
07/07/2017;2;1;5;15;2
08/07/2017;5;2;3;10;2
09/07/2017;1;3;1;25;2
10/07/2017;4;3;6;30;3
11/07/2017;2;1;4;20;2
12/07/2017;2;1;2;15;1
13/07/2017;6;4;5;15;5
14/07/2017;1;3;4;20;10
15/07/2017;1;3;6;30;10
16/07/2017;2;1;6;30;5
17/07/2017;4;2;6;30;2
18/07/2017;5;1;4;20;2
19/07/2017;3;1;6;30;2
20/07/2017;2;3;3;10;5
21/07/2017;5;2;6;30;10
22/07/2017;6;4;2;15;6
23/07/2017;3;2;2;15;5
24/07/2017;4;2;6;30;4
25/07/2017;2;1;6;30;10
26/07/2017;6;1;5;15;2
27/07/2017;2;2;3;10;2
28/07/2017;1;3;1;25;2
29/07/2017;5;3;6;30;3
30/07/2017;2;1;4;20;2
31/07/2017;6;1;2;15;1
01/08/2017;3;4;5;15;5
02/08/2017;1;3;4;20;10
03/08/2017;6;3;6;30;10
04/08/2017;3;1;6;30;5
05/08/2017;4;2;6;30;2
06/08/2017;1;1;4;20;2
07/08/2017;1;1;6;30;2
08/08/2017;6;3;3;10;5
09/08/2017;2;2;6;30;10
10/08/2017;5;4;2;15;6
11/08/2017;6;2;2;15;5
12/08/2017;5;2;6;30;4
13/08/2017;1;1;6;30;10
14/08/2017;2;1;5;15;2
15/08/2017;1;2;3;10;2
16/08/2017;6;3;1;25;2
17/08/2017;5;1;6;30;5
18/08/2017;3;2;6;30;2
19/08/2017;4;1;4;20;2
20/08/2017;3;1;6;30;2
21/08/2017;4;3;3;10;5
22/08/2017;5;2;6;30;10
23/08/2017;6;4;2;15;6
24/08/2017;3;2;2;15;5
25/08/2017;3;2;6;30;4
26/08/2017;5;1;6;30;10
27/08/2017;2;1;5;15;2
28/08/2017;3;2;3;10;2
29/08/2017;6;3;1;25;2
30/08/2017;5;3;6;30;3
31/08/2017;4;1;4;20;2
01/09/2017;6;1;2;15;1
02/09/2017;6;4;5;15;5
03/09/2017;6;3;4;20;10
04/09/2017;1;3;6;30;10
05/09/2017;5;1;6;30;5
06/09/2017;3;2;6;30;2
07/09/2017;5;1;4;20;2
08/09/2017;3;1;6;30;2
09/09/2017;5;3;3;10;5
10/09/2017;3;2;6;30;10
11/09/2017;4;4;2;15;6
12/09/2017;3;2;2;15;5
13/09/2017;3;2;6;30;4
14/09/2017;3;1;6;30;10
15/09/2017;1;1;5;15;2
16/09/2017;2;2;3;10;2
17/09/2017;6;3;1;25;2
18/09/2017;6;3;6;30;3
19/09/2017;1;1;4;20;2
20/09/2017;4;1;2;15;1
21/09/2017;2;4;5;15;5
22/09/2017;1;3;4;20;10
23/09/2017;1;3;6;30;10
24/09/2017;6;1;6;30;5
25/09/2017;6;2;6;30;2
26/09/2017;2;1;4;20;2
27/09/2017;6;1;6;30;2
28/09/2017;1;3;3;10;5
29/09/2017;5;2;6;30;10
30/09/2017;1;4;2;15;6
01/10/2017;3;2;2;15;5
02/10/2017;5;2;6;30;4
03/10/2017;3;1;6;30;10
04/10/2017;6;1;5;15;2
05/10/2017;1;2;3;10;2
06/10/2017;5;3;1;25;2
07/10/2017;6;3;6;30;3
08/10/2017;3;1;4;20;2
09/10/2017;1;1;2;15;1
10/10/2017;2;4;5;15;5
11/10/2017;2;3;4;20;10
12/10/2017;1;3;6;30;10
